Tag,Player,Elo,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,LeadPokemon,TurnCount,Result,Pokemon 1 Move 1,Pokemon 1 Move 2,Pokemon 1 Move 3,Pokemon 1 Move 4,Pokemon 2 Move 1,Pokemon 2 Move 2,Pokemon 2 Move 3,Pokemon 2 Move 4,Pokemon 3 Move 1,Pokemon 3 Move 2,Pokemon 3 Move 3,Pokemon 3 Move 4,Pokemon 4 Move 1,Pokemon 4 Move 2,Pokemon 4 Move 3,Pokemon 4 Move 4,Pokemon 5 Move 1,Pokemon 5 Move 2,Pokemon 5 Move 3,Pokemon 5 Move 4,Pokemon 6 Move 1,Pokemon 6 Move 2,Pokemon 6 Move 3,Pokemon 6 Move 4,Avg_HP,Avg_Attack,Avg_Special Attack,Avg_Defense,Avg_Special Defense,Avg_Speed,Lead_HP,Lead_Attack,Lead_Special Attack,Lead_Defense,Lead_Special Defense,Lead_Speed,Has_Normal,Has_Fighting,Has_Flying,Has_Poison,Has_Ground,Has_Rock,Has_Bug,Has_Ghost,Has_Steel,Has_Fire,Has_Water,Has_Grass,Has_Electric,Has_Psychic,Has_Ice,Has_Dragon,Has_Dark
1003083688,blackkaiser,1304,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,15,win,Stealth Rock,,,,Spikes,,,,Scald,,,,Surf,,,,,,,,U-turn,,,,90.00000000000001,102.66666666666667,99.0,78.66666666666667,94.66666666666666,67.33333333333333,108.0,112.0,118.0,68.0,72.0,47.0,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
1003084675,westburger,1356,Garchomp,Heatran,Ferrothorn,Jellicent,Jolteon,Scizor,Ferrothorn,32,lose,Earthquake,,,,Stealth Rock,Hidden Power,Fire Blast,,Spikes,Power Whip,,,Recover,Will-O-Wisp,Taunt,,Shadow Ball,,,,Pursuit,U-turn,Roost,Bullet Punch,84.66666666666667,94.83333333333334,93.66666666666667,85.66666666666667,97.83333333333333,75.66666666666667,74.0,94.0,131.0,54.0,116.0,20.0,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,True,False
1003097860,Seanb143,1400,Jellicent,Scizor,Starmie,Heatran,Ninetales,Landorus-Therian,Landorus-Therian,16,lose,,,,,Pursuit,Bullet Punch,,,Hydro Pump,,,,,,,,Hidden Power,,,,Stone Edge,,,,80.5,96.00000000000001,87.66666666666667,92.66666666666667,92.66666666666667,84.66666666666667,89.0,145.0,90.0,105.0,80.0,91.0,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False
1003135367,doughboy,1469,Garchomp,Dragonite,Breloom,Starmie,Volcarona,Scizor,Dragonite,24,lose,,,,,Extreme Speed,Outrage,,,Focus Punch,Spore,,,Surf,,,,,,,,U-turn,Superpower,Bullet Punch,,79.0,109.83333333333334,86.66666666666667,88.33333333333334,85.83333333333333,88.66666666666667,91.0,134.0,95.0,100.0,100.0,80.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
1003555728,foxbeatsfalco,1334,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,25,lose,Stealth Rock,Roar,,,Spikes,,,,Will-O-Wisp,Scald,,,Surf,,,,Earthquake,,,,U-turn,,,,90.00000000000001,102.66666666666667,99.0,78.66666666666667,94.66666666666666,67.33333333333333,108.0,112.0,118.0,68.0,72.0,47.0,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
1003767530,II Armando II,1515,Politoed,Jirachi,Kyurem-Black,Thundurus-Therian,Donphan,Keldeo,Politoed,22,win,Ice Beam,Hypnosis,,,,,,,Substitute,Earth Power,Fusion Bolt,Ice Beam,,,,,Earthquake,Rapid Spin,Ice Shard,Stealth Rock,,,,,95.83333333333334,107.0,92.5,107.33333333333334,86.66666666666667,87.33333333333333,90.0,75.0,75.0,90.0,100.0,70.0,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
1003769330,Odissey Nausicaa,1351,Breloom,Alakazam,Garchomp,Froslass,Scizor,Keldeo,Froslass,23,lose,Spore,Protect,Drain Punch,,Psychic,Hidden Power,Focus Blast,,Stealth Rock,,,,Destiny Bond,Spikes,Ice Beam,,U-turn,Superpower,,,Calm Mind,Hidden Power,,,75.66666666666666,98.66666666666667,80.0,89.83333333333334,78.33333333333333,95.83333333333333,70.0,80.0,70.0,80.0,70.0,110.0,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
100419815,LittlePichu:3,1351,Ninetales,Milotic,Togekiss,Zoroark,Garchomp,Glaceon,Ninetales,18,lose,,,,,,,,,,,,,,,,,,,,,,,,,80.99999999999999,80.16666666666667,85.66666666666666,105.16666666666667,96.66666666666667,88.83333333333333,73.0,76.0,75.0,81.0,100.0,100.0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True
1004651431,Sword8laze,1342,Bronzong,Jellicent,Reuniclus,Breloom,Tyranitar,Torkoal,Torkoal,46,lose,Gyro Ball,Trick Room,Explosion,,Shadow Ball,Trick Room,Scald,,Shadow Ball,Focus Blast,Trick Room,Psyshock,Mach Punch,,,,Pursuit,Superpower,Crunch,,Stealth Rock,Yawn,,,84.50000000000001,93.83333333333334,98.5,88.16666666666667,89.33333333333333,45.666666666666664,70.0,85.0,140.0,85.0,70.0,20.0,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False
1004655951,WaterLeau,1510,Alakazam,Garchomp,Gastrodon,Skarmory,Tyranitar,Gengar,Gastrodon,36,win,Focus Blast,Encore,,,Dragon Tail,Stealth Rock,Earthquake,,Recover,Toxic,Ice Beam,Earthquake,Brave Bird,,,,Ice Beam,Crunch,,,Substitute,Shadow Ball,,,83.16666666666667,90.33333333333333,86.33333333333333,95.33333333333334,82.83333333333333,83.66666666666666,111.0,83.0,68.0,92.0,82.0,39.0,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False
1005184570,initialoffense,1478,Tyranitar,Alakazam,Breloom,Hydreigon,Landorus-Therian,Scizor,Breloom,15,lose,Fire Blast,Stealth Rock,,,,,,,Spore,Protect,,,Dark Pulse,,,,Earthquake,Swords Dance,Stone Edge,,Bullet Punch,,,,77.66666666666667,115.66666666666667,85.83333333333333,95.83333333333334,82.5,84.16666666666666,60.0,130.0,80.0,60.0,60.0,70.0,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False,True
100529510,Sage Hane,1276,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Cloyster,5,win,,,,,,,,,,,,,,,,,,,,,,,,,129.83333333333331,86.16666666666667,92.16666666666667,65.5,75.5,64.16666666666667,50.0,95.0,180.0,85.0,45.0,70.0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
1006337862,fdsfsdfsdsdfdfsdf,1502,Alakazam,Hydreigon,Landorus-Therian,Ferrothorn,Amoonguss,Tyranitar,Landorus-Therian,34,win,Psychic,Focus Blast,Signal Beam,,Surf,,,,Superpower,U-turn,,,Protect,Spikes,Leech Seed,,Spore,Giga Drain,,,Superpower,Stealth Rock,,,87.33333333333334,102.16666666666667,89.33333333333333,99.83333333333333,91.83333333333333,70.0,89.0,145.0,90.0,105.0,80.0,91.0,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True
1006707735,Pilif,1419,Latios,Salamence,Jellicent,Ferrothorn,Hitmontop,Gliscor,Latios,34,lose,Draco Meteor,Trick,,,Outrage,,,,Recover,Will-O-Wisp,Hex,Taunt,Stealth Rock,,,,Rock Slide,Rapid Spin,,,Toxic,Earthquake,Protect,,79.0,94.83333333333333,96.83333333333333,76.5,99.33333333333333,75.83333333333333,80.0,90.0,80.0,130.0,110.0,110.0,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False
100672841,JeT´aimeYS,1484,Breloom,Latios,Terrakion,Tyranitar,Keldeo,Scizor,Latios,26,lose,,,,,Surf,Hidden Power,Draco Meteor,Psyshock,Stone Edge,Swords Dance,,,Pursuit,,,,Hydro Pump,Secret Sword,,,Bug Bite,Bullet Punch,Swords Dance,,82.00000000000001,114.16666666666667,91.66666666666667,90.16666666666667,88.33333333333333,86.99999999999999,80.0,90.0,80.0,130.0,110.0,110.0,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False
1006890791,BUMBACLAAT,1474,Rotom-Wash,Landorus-Therian,Heracross,Latios,Tyranitar,Skarmory,Heracross,13,win,Volt Switch,,,,,,,,,,,,Trick,,,,,,,,Spikes,Whirlwind,,,77.33333333333333,106.49999999999999,100.33333333333333,85.83333333333333,93.66666666666667,83.83333333333334,80.0,125.0,75.0,40.0,95.0,85.0,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False
1006925191,Chellison,1315,Hippowdon,Forretress,Jellicent,Roserade,Jirachi,Gliscor,Hippowdon,42,lose,Slack Off,Stealth Rock,Ice Fang,,Spikes,Volt Switch,Rapid Spin,,Shadow Ball,Will-O-Wisp,Taunt,,Hidden Power,Giga Drain,,,U-turn,Ice Punch,,,Acrobatics,Swords Dance,,,86.33333333333334,87.83333333333333,101.33333333333333,80.5,86.16666666666667,72.0,108.0,112.0,118.0,68.0,72.0,47.0,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False
1007167190,mellrrowe,1275,Garchomp,Breloom,Volcarona,Dragonite,Starmie,Scizor,Breloom,25,win,Fire Blast,Stealth Rock,,,Bullet Seed,Stun Spore,Mach Punch,,Giga Drain,Quiver Dance,Fire Blast,,Extreme Speed,,,,Thunder,Rapid Spin,,,U-turn,,,,79.0,109.83333333333334,86.66666666666667,88.33333333333334,85.83333333333333,88.66666666666666,60.0,130.0,80.0,60.0,60.0,70.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
1007185463,gfgfdhdh,1344,Tyranitar,Garchomp,Magnezone,Amoonguss,Alakazam,Landorus-Therian,Tyranitar,19,win,Pursuit,Superpower,,,Fire Blast,,,,Volt Switch,,,,Spore,Sludge Bomb,,,Shadow Ball,,,,U-turn,,,,89.33333333333334,102.33333333333333,87.5,105.0,86.66666666666667,77.33333333333333,100.0,134.0,110.0,95.0,100.0,61.0,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False
1007536171,Samurott7777777,1327,Politoed,Keldeo-Resolute,Ferrothorn,Magnezone,Salamence,Excadrill,Magnezone,31,lose,Perish Song,Hypnosis,,,Surf,Hidden Power,,,Stealth Rock,Thunder Wave,Leech Seed,Power Whip,Substitute,Hidden Power,,,,,,,Earthquake,,,,88.33333333333333,96.83333333333333,91.83333333333333,93.83333333333333,90.16666666666666,74.33333333333334,70.0,70.0,115.0,130.0,90.0,60.0,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False
1008216643,MP58,1326,Ferrothorn,Politoed,Rotom-Wash,Toxicroak,Jellicent,Tornadus,Ferrothorn,49,lose,Protect,Spikes,Leech Seed,Gyro Ball,Scald,Toxic,Encore,Protect,Hydro Pump,Volt Switch,Trick,Thunder,Bulk Up,,,,Scald,Toxic,,,Hurricane,,,,79.33333333333334,85.83333333333334,86.33333333333333,90.83333333333333,95.49999999999999,72.0,74.0,94.0,131.0,54.0,116.0,20.0,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False
100893247,iowna360x,1352,Landorus-Therian,Azumarill,Latias,Tyranitar,Breloom,Jirachi,Landorus-Therian,28,lose,Stealth Rock,U-turn,Earthquake,,Aqua Jet,,,,Hidden Power,Toxic,,,,,,,Leech Seed,Spore,,,Iron Head,U-turn,Trick,Ice Punch,88.16666666666667,106.50000000000001,91.66666666666667,86.66666666666667,91.66666666666667,80.33333333333333,89.0,145.0,90.0,105.0,80.0,91.0,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False
100928181,i lose evrytiem,1376,Scizor,Tentacruel,Politoed,Volcarona,Ferrothorn,Latios,Politoed,22,lose,U-turn,Bullet Punch,Swords Dance,,Toxic,Rapid Spin,Protect,,Hydro Pump,,,,,,,,Bulldoze,,,,Dragon Dance,Outrage,Draco Meteor,,79.83333333333333,86.5,86.0,90.66666666666667,105.16666666666666,77.5,90.0,75.0,75.0,90.0,100.0,70.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
1009839002,space bound monkey,1368,Cofagrigus,Alakazam,Skarmory,Kyurem-Black,Scizor,Reuniclus,Skarmory,20,win,,,,,Psychic,Shadow Ball,Hidden Power,,Spikes,Stealth Rock,,,Substitute,Fusion Bolt,Ice Beam,,Bug Bite,,,,,,,,80.5,90.83333333333333,100.83333333333334,95.0,85.83333333333333,68.33333333333334,65.0,80.0,140.0,40.0,70.0,70.0,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False
1009843719,Icequake,1452,Tyranitar,Salamence,Excadrill,Milotic,Starmie,Ferrothorn,Milotic,27,lose,,,,,,,,,Iron Head,Swords Dance,Protect,Earthquake,Recover,Hypnosis,Scald,,Thunder Wave,,,,,,,,88.99999999999999,105.5,90.83333333333333,84.83333333333334,95.16666666666667,77.5,95.0,60.0,79.0,100.0,125.0,81.0,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False
1009976647,SkAm NEwToN,1382,Ninetales,Volcarona,Donphan,Jolteon,Dragonite,Gyarados,Donphan,23,lose,Will-O-Wisp,,,,Fiery Dance,,,,Stone Edge,Stealth Rock,Rapid Spin,,Hidden Power,,,,Outrage,,,,Bounce,Earthquake,Dragon Dance,,83.16666666666666,96.66666666666666,82.33333333333334,91.0,93.33333333333334,90.16666666666667,90.0,120.0,120.0,60.0,60.0,50.0,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False
1010113249,Spritzalcianuro96,1419,Ninetales,Terrakion,Hydreigon,Heatran,Volcarona,Starmie,Terrakion,15,win,,,,,Stone Edge,Taunt,,,Roost,Dark Pulse,Taunt,,Overheat,,,,,,,,,,,,82.0,89.16666666666666,85.16666666666667,107.16666666666667,96.00000000000001,99.66666666666667,91.0,129.0,90.0,72.0,90.0,108.0,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True
101033923,ŝhofư,1378,Politoed,Tentacruel,Skarmory,Tangrowth,Chansey,Celebi,Politoed,48,win,Encore,Protect,,,Scald,Toxic,Rapid Spin,Protect,Spikes,Roost,Taunt,,Focus Blast,Giga Drain,Hidden Power,Sleep Powder,Aromatherapy,Seismic Toss,Soft-Boiled,Stealth Rock,,,,,114.16666666666667,71.66666666666667,85.0,75.83333333333333,90.83333333333334,73.33333333333334,90.0,75.0,75.0,90.0,100.0,70.0,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
1010436748,gamerno1,1464,Mamoswine,Lucario,Gyarados,Haxorus,Mew,Uxie,Mew,30,win,Icicle Crash,Ice Shard,Earthquake,,,,,,Dragon Dance,Waterfall,,,Dragon Claw,Superpower,Dragon Dance,,Reflect,Taunt,Light Screen,Stealth Rock,Reflect,Light Screen,Thunder Wave,,87.66666666666667,114.5,91.5,80.0,88.33333333333333,90.5,100.0,100.0,100.0,100.0,100.0,100.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False
1010624548,Manolo1978,1337,Garchomp,Arcanine,Venusaur,Empoleon,Gengar,Weavile,Gengar,18,lose,Outrage,Fire Fang,,,Flare Blitz,,,,Swords Dance,,,,Surf,Hidden Power,,,,,,,,,,,82.00000000000001,98.83333333333333,78.49999999999999,94.33333333333334,87.66666666666667,95.33333333333333,60.0,65.0,60.0,130.0,75.0,110.0,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,True
101099103,do a flip99,1343,Tyranitar,Mamoswine,Starmie,Breloom,Landorus-Therian,Heatran,Breloom,19,lose,,,,,,,,,Scald,,,,Bulk Up,Protect,,,,,,,Protect,Toxic,,,85.0,117.33333333333334,91.83333333333333,93.33333333333334,81.83333333333334,82.33333333333333,60.0,130.0,80.0,60.0,60.0,70.0,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,False,False
1011179629,Gh0stp3pper,1332,Scizor,Togekiss,Scrafty,Starmie,Landorus-Therian,Chandelure,Starmie,22,lose,Pursuit,U-turn,Bullet Punch,,,,,,Crunch,Dragon Dance,Drain Punch,,Scald,Ice Beam,Psyshock,,Stealth Rock,,,,Fire Blast,,,,71.5,90.83333333333334,95.83333333333334,95.0,94.16666666666667,81.5,60.0,75.0,85.0,100.0,85.0,115.0,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True
1011272669,hf losing,1589,Scizor,Politoed,Tentacruel,Thundurus-Therian,Ferrothorn,Latios,Thundurus-Therian,40,win,Bullet Punch,,,,Scald,Toxic,Protect,,Scald,Rapid Spin,,,Substitute,Focus Blast,Thunder,,Stealth Rock,Power Whip,,,Thunder,Draco Meteor,,,78.83333333333333,94.0,86.83333333333333,92.33333333333334,101.0,77.66666666666667,79.0,105.0,70.0,145.0,80.0,101.0,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False
1011743201,sankafola,1428,Lucario,Forretress,Scizor,Gengar,Latios,Keldeo-Resolute,Forretress,22,win,,,,,Stealth Rock,,,,,,,,Substitute,Shadow Ball,Disable,,Psyshock,Draco Meteor,,,Surf,Hidden Power,,,74.33333333333333,92.83333333333333,90.0,103.16666666666667,80.83333333333333,87.16666666666666,75.0,90.0,140.0,60.0,60.0,40.0,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
1011775530,Puke,1395,Hippowdon,Alakazam,Lucario,Jolteon,Gastrodon,Infernape,Jolteon,24,lose,Slack Off,Stealth Rock,Toxic,,Shadow Ball,Focus Blast,Psyshock,,Swords Dance,Close Combat,,,Hidden Power,,,,Earth Power,Scald,Ice Beam,,Flare Blitz,U-turn,,,80.83333333333333,87.33333333333333,72.0,103.99999999999999,79.16666666666666,89.0,65.0,65.0,60.0,110.0,95.0,130.0,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False
101179801,Pythagorean Python,1441,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Hippowdon,36,win,Spikes,Roost,Whirlwind,,Thunder Wave,Soft-Boiled,,,Earthquake,Stealth Rock,Slack Off,,Psychic,,,,Earthquake,,,,,,,,105.66666666666669,76.0,81.33333333333334,81.66666666666667,89.5,85.83333333333333,108.0,112.0,118.0,68.0,72.0,47.0,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False
101544483,kid emulation,1436,Feraligatr,Politoed,Garchomp,Ferrothorn,Tornadus,Alakazam,Garchomp,27,lose,Aqua Jet,Swords Dance,Waterfall,,Ice Beam,,,,Stealth Rock,,,,Spikes,Power Whip,Gyro Ball,,Hurricane,Tailwind,Focus Blast,,,,,,81.83333333333334,94.83333333333334,86.0,93.83333333333333,91.5,83.5,108.0,130.0,95.0,80.0,85.0,102.0,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False
1016985031,nx3 sobcay,1416,Tyranitar,Scizor,Starmie,Breloom,Thundurus-Therian,Lucario,Breloom,29,lose,Pursuit,Stone Edge,Stealth Rock,,Bullet Punch,,,,Scald,Psyshock,,,Bullet Seed,Focus Punch,Spore,Mach Punch,Agility,Focus Blast,Thunderbolt,,Extreme Speed,Swords Dance,Ice Punch,,73.16666666666667,114.0,85.83333333333334,95.00000000000001,79.16666666666667,83.66666666666667,60.0,130.0,80.0,60.0,60.0,70.0,False,True,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False
101718393,Śhofũ,1418,Politoed,Chansey,Skarmory,Tentacruel,Celebi,Tangrowth,Chansey,98,win,Scald,Toxic,Encore,Protect,Seismic Toss,Aromatherapy,Stealth Rock,,Spikes,,,,Scald,Protect,Rapid Spin,,Perish Song,Recover,Psychic,Baton Pass,Focus Blast,Giga Drain,Hidden Power,,114.16666666666667,71.66666666666667,85.0,75.83333333333333,90.83333333333334,73.33333333333333,250.0,5.0,5.0,35.0,105.0,50.0,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
1017763446,The Daisuke,1446,Tyranitar,Seismitoad,Latios,Tentacruel,Ferrothorn,Mew,Mew,32,lose,Pursuit,Superpower,,,Scald,,,,Trick,,,,Scald,Rapid Spin,,,Stealth Rock,Leech Seed,,,Taunt,Will-O-Wisp,,,89.83333333333334,95.5,93.5,90.66666666666667,103.5,77.5,100.0,100.0,100.0,100.0,100.0,100.0,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False
1018328634,dice,1400,Breloom,Mamoswine,Politoed,Landorus-Therian,Tentacruel,Jirachi,Breloom,41,win,Protect,Drain Punch,,,Superpower,,,,Scald,Protect,Hypnosis,,U-turn,,,,Scald,Protect,,,Stealth Rock,U-turn,,,88.16666666666667,108.33333333333334,81.66666666666667,84.16666666666667,86.66666666666667,85.16666666666667,60.0,130.0,80.0,60.0,60.0,70.0,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False
101997268,arm94,1400,Dragonite,Breloom,Volcarona,Mamoswine,Starmie,Scizor,Breloom,22,lose,Dragon Dance,Extreme Speed,,,Spore,Swords Dance,,,Bug Buzz,,,,Earthquake,Stealth Rock,,,Hail,Thunderbolt,Rapid Spin,Psychic,Bullet Punch,Swords Dance,,,79.33333333333333,109.83333333333334,84.16666666666667,86.66666666666667,81.66666666666667,85.0,60.0,130.0,80.0,60.0,60.0,70.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False
